,sourceimagefileid,fovimagedate,fovid,instrument,localfilepath,wellname,barcode,cellline,workflow,imaging_mode,gene,latest_segmentation_filename,latest_segmentation_readpath,latest_segmentation_metadata
27818,a470ab93bcad48f185117a6f82918d00,22:02.0,170983,ZSD-1,/allen/programs/allencell/data/proj0/d00/918/f82/7a6/511/f18/d48/bca/b93/70a/a4/3500004565_100X_ZSD1_20210615-alignV2-Scene-39-P40-F03.ome.tiff,F3,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27827,771b94a3e05b48628db7ba8432481fb3,06:40.0,170992,ZSD-1,/allen/programs/allencell/data/proj0/fb3/481/432/ba8/db7/628/b48/e05/4a3/1b9/77/3500004565_100X_ZSD1_20210615-alignV2-Scene-83-P84-F04.ome.tiff,F4,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27830,481ec01f7ffe49dfa56286054a36985c,01:37.0,170995,ZSD-1,/allen/programs/allencell/data/proj0/85c/369/54a/860/562/dfa/e49/7ff/01f/1ec/48/3500004565_100X_ZSD1_20210615-alignV2-Scene-78-P79-F04.ome.tiff,F4,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27832,d8b05140fbee45908575c7a0ad2f362d,00:37.0,170997,ZSD-1,/allen/programs/allencell/data/proj0/62d/2f3/0ad/c7a/575/908/e45/fbe/140/b05/d8/3500004565_100X_ZSD1_20210615-alignV2-Scene-77-P78-F04.ome.tiff,F4,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27834,ad060051d169408987e0b7c691ae3011,59:37.0,170999,ZSD-1,/allen/programs/allencell/data/proj0/011/ae3/691/b7c/7e0/898/940/d16/051/060/ad/3500004565_100X_ZSD1_20210615-alignV2-Scene-76-P77-F04.ome.tiff,F4,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27837,5ab6664fb68847b8ae769a3ce547017f,56:47.0,171002,ZSD-1,/allen/programs/allencell/data/proj0/17f/470/ce5/9a3/e76/b8a/847/b68/64f/b66/5a/3500004565_100X_ZSD1_20210615-alignV2-Scene-14-P14-F02.ome.tiff,F2,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27841,fd505d32a5294ece88aed50c6c16a6dc,48:44.0,171006,ZSD-1,/allen/programs/allencell/data/proj0/6dc/16a/c6c/d50/8ae/ce8/94e/a52/d32/505/fd/3500004565_100X_ZSD1_20210615-alignV2-Scene-06-P6-F02.ome.tiff,F2,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27847,f0e73ea0525f4ff3ace73954174185d6,23:02.0,171012,ZSD-1,/allen/programs/allencell/data/proj0/5d6/418/417/395/ce7/f3a/f4f/525/ea0/e73/f0/3500004565_100X_ZSD1_20210615-alignV2-Scene-40-P41-F03.ome.tiff,F3,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27850,38dc614d0f724fd298e61034db097bee,16:58.0,171015,ZSD-1,/allen/programs/allencell/data/proj0/bee/097/4db/103/8e6/d29/24f/0f7/14d/dc6/38/3500004565_100X_ZSD1_20210615-alignV2-Scene-34-P35-F03.ome.tiff,F3,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27853,94fb59056d114532ab45c335a0b283da,13:58.0,171018,ZSD-1,/allen/programs/allencell/data/proj0/3da/b28/5a0/c33/b45/32a/145/6d1/905/fb5/94/3500004565_100X_ZSD1_20210615-alignV2-Scene-31-P32-F03.ome.tiff,F3,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27854,462bf7c875d64925a6b2a676e6fdb106,55:47.0,171019,ZSD-1,/allen/programs/allencell/data/proj0/106/fdb/6e6/a67/6b2/25a/649/75d/7c8/2bf/46/3500004565_100X_ZSD1_20210615-alignV2-Scene-13-P13-F02.ome.tiff,F2,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27855,2db79b30e79f46a7909b12b0b3b0efc6,49:44.0,171020,ZSD-1,/allen/programs/allencell/data/proj0/fc6/b0e/0b3/12b/09b/a79/f46/e79/b30/b79/2d/3500004565_100X_ZSD1_20210615-alignV2-Scene-07-P7-F02.ome.tiff,F2,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27859,69a2d65154a74d1292d096b6f18ac3bc,20:02.0,171024,ZSD-1,/allen/programs/allencell/data/proj0/3bc/8ac/6f1/96b/2d0/129/74d/54a/651/a2d/69/3500004565_100X_ZSD1_20210615-alignV2-Scene-37-P38-F03.ome.tiff,F3,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27860,be3c17796df042c8893977c12870b042,50:44.0,171025,ZSD-1,/allen/programs/allencell/data/proj0/042/70b/128/77c/939/c88/042/6df/779/3c1/be/3500004565_100X_ZSD1_20210615-alignV2-Scene-08-P8-F02.ome.tiff,F2,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27861,4f6134a9f72a4ef5a3f595e65c036a67,17:59.0,171026,ZSD-1,/allen/programs/allencell/data/proj0/a67/036/65c/95e/3f5/f5a/a4e/f72/4a9/613/4f/3500004565_100X_ZSD1_20210615-alignV2-Scene-35-P36-F03.ome.tiff,F3,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27862,6b84c94ac6544e6e897ecaf3af42829a,14:58.0,171027,ZSD-1,/allen/programs/allencell/data/proj0/29a/428/3af/caf/97e/6e8/44e/c65/94a/84c/6b/3500004565_100X_ZSD1_20210615-alignV2-Scene-32-P33-F03.ome.tiff,F3,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27866,e136c26ad7484bdca16e95053bd07c81,53:47.0,171031,ZSD-1,/allen/programs/allencell/data/proj0/c81/d07/53b/950/16e/dca/84b/d74/26a/36c/e1/3500004565_100X_ZSD1_20210615-alignV2-Scene-11-P11-F02.ome.tiff,F2,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27869,e58378fdccba42a6a81784b4149db892,03:37.0,171034,ZSD-1,/allen/programs/allencell/data/proj0/892/9db/414/84b/817/a6a/a42/ccb/8fd/837/e5/3500004565_100X_ZSD1_20210615-alignV2-Scene-80-P81-F04.ome.tiff,F4,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27872,2a3e6182a48a4d36b60da982dc1654c1,52:45.0,171037,ZSD-1,/allen/programs/allencell/data/proj0/4c1/165/2dc/a98/60d/36b/a4d/a48/182/3e6/2a/3500004565_100X_ZSD1_20210615-alignV2-Scene-10-P10-F02.ome.tiff,F2,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27882,dcd2af5bfb2047e7a0bbe85afe378ad5,48:27.0,171047,ZSD-1,/allen/programs/allencell/data/proj0/ad5/378/afe/e85/0bb/e7a/047/fb2/f5b/d2a/dc/3500004598_100X_ZSD1_20210624-alignV2-Scene-117-P98-F05.ome.tiff,F5,3500004598,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27893,9a92158d91f842e4bd41433e50073ee5,47:27.0,171058,ZSD-1,/allen/programs/allencell/data/proj0/ee5/073/e50/433/d41/e4b/842/91f/58d/921/9a/3500004598_100X_ZSD1_20210624-alignV2-Scene-116-P97-F05.ome.tiff,F5,3500004598,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27895,57322d3c9cd64aa0a5e96aae6f345ddb,43:24.0,171060,ZSD-1,/allen/programs/allencell/data/proj0/ddb/345/e6f/6aa/5e9/a0a/64a/9cd/d3c/322/57/3500004598_100X_ZSD1_20210624-alignV2-Scene-112-P91-F05.ome.tiff,F5,3500004598,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27897,8d4236b603cf42e39201bcbe3e837a15,49:27.0,171062,ZSD-1,/allen/programs/allencell/data/proj0/a15/837/e3e/bcb/201/e39/f42/03c/6b6/423/8d/3500004598_100X_ZSD1_20210624-alignV2-Scene-118-P99-F05.ome.tiff,F5,3500004598,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27899,60860887567b41cc8967301785683a1d,17:09.0,171064,ZSD-1,/allen/programs/allencell/data/proj0/a1d/683/785/301/967/cc8/b41/567/887/860/60/3500004598_100X_ZSD1_20210624-alignV2-Scene-086-P48-F04.ome.tiff,F4,3500004598,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
